SpinCore Technologies, Inc. SpinAPI ver. 20171214
Logfile created: Wed Apr 15 12:57:10 2026

Markers: (I) info, (W) warning, (E) error.

================================================================================================
    TIME     FUNCTION                     MESSAGE                      
================================================================================================
(I) 12:57:11 pb_inst_pbonly64:856        pb_inst_pbonly: inst=140703128616963, inst_data=9,length=4000.000000, flags=0x00e00022
(I) 12:57:11 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 E000 22000093 7CD.

(I) 12:57:11 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
(I) 12:57:11 usb_set_device:54           usb_set_device: board num 0
(I) 12:57:11 pb_inst_pbonly64:856        pb_inst_pbonly: inst=140703128616966, inst_data=0,length=46000.000000, flags=0x00e00000
(I) 12:57:11 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 E000 6 59D5.

(I) 12:57:11 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
(I) 12:57:11 usb_set_device:54           usb_set_device: board num 0
(I) 12:57:11 pb_stop_programming:429     pb_stop_programming: (device=0)
(I) 12:57:11 pb_stop_programming:467     pb_stop_programming(PULSE_PROGRAM): Writing shape period information to DDS-II board
(I) 12:57:12 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
(I) 12:57:12 usb_set_device:54           usb_set_device: board num 0
(I) 12:57:12 pb_start:488                pb_start():
(I) 13:01:13 pb_select_board:171         pb_select_board(..): Selecting usb board: 0
(I) 13:01:13 usb_set_device:54           usb_set_device: board num 0
(I) 13:01:13 pb_stop:521                 pb_stop():
